Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B1A B1A V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-02-10T05:40:00+11:00 Sydney,10kW,10kW,24kW,,115kW,130kW,6kW,6kW,0kW,0kW,18kW,1kW,1kW,,3kW,0kW,269kW,0kW,2kW,1kW,26kW,105kW,0kW,30kW,23kW,,34kW,9kW,0kW,0kW,,,55kW,1kW,6kW,6kW,1kW,44kW,,7kW,26kW,90kW,32kW,0kW,25kW,0kW,,1kW,48kW,3kW,49kW,2299.2006072998047kW,,36kW,0kW,0kW,40kW,7kW,0kW,0kW,1kW,36kW,34kW,25kW,0kW,2kW,158kW,81kW,0.05787762254476547kW,0kW,1kW,0kW,96kW,,,17kW,0kW,0kW,84kW,7kW,0kW,,246kW,29kW,84kW,39kW,,,354kW,9kW,,0kW,5kW,0kW,1kW,56kW,8kW,0kW,4kW,55kW,0kW,,0kW,285kW,61kW,25kW,57kW,21kW,0kW,,0kW,16kW,,1kW,,0kW,370kW,,238.09230422973633kW,1kW,,0kW,256kW,1kW,22kW,26kW,18kW,39kW,96kW,0kW,,113kW,3kW,7318.372850935906kW,9027.617435455322kW,129kW,8kW,,1kW,0kW,3kW,601kW,,,2kW,18kW,13kW,86kW,2kW,358kW,0kW,46kW,0kW
2016-02-10T05:50:00+11:00 Sydney,10kW,11kW,24kW,,145kW,130kW,6kW,7kW,0kW,0kW,18kW,1kW,1kW,,3kW,0kW,279kW,0kW,2kW,1kW,26kW,112kW,0kW,32kW,19kW,,34kW,9kW,0kW,0kW,,,79kW,4kW,6kW,6kW,1kW,43kW,,8kW,24kW,89kW,32kW,0kW,25kW,0kW,,2kW,65kW,3kW,31kW,2343.6936950683594kW,,36kW,0kW,0kW,41kW,7kW,0kW,0kW,1kW,37kW,34kW,24kW,0kW,3kW,150kW,87kW,0.057831693440675735kW,0kW,1kW,0kW,96kW,,,17kW,0kW,0kW,77kW,7kW,0kW,,246kW,29kW,80kW,39kW,,,346kW,8kW,,0kW,5kW,0kW,1kW,56kW,7kW,0kW,4kW,51kW,0kW,,0kW,317kW,62kW,25kW,70kW,29kW,0kW,,0kW,16kW,,1kW,,0kW,384kW,,238.09230422973633kW,1kW,,0kW,309kW,1kW,17kW,26kW,18kW,39kW,97kW,0kW,,115kW,3kW,7497.567408049479kW,8951.659969329834kW,123kW,13kW,,1kW,0kW,3kW,585kW,,,1kW,18kW,14kW,94kW,2kW,358kW,0kW,52kW,0kW
2016-02-10T06:00:00+11:00 Sydney,10kW,11kW,24kW,,145kW,132kW,6kW,6kW,0kW,0kW,19kW,1kW,1kW,,13kW,0kW,279kW,0kW,3kW,1kW,27kW,122kW,0kW,33kW,26kW,,36kW,7kW,0kW,0kW,,,41kW,4kW,13kW,13kW,1kW,45kW,,8kW,26kW,89kW,28kW,0kW,22kW,0kW,,2kW,65kW,3kW,32kW,2209.6936950683594kW,,35kW,0kW,0kW,44kW,7kW,0kW,0kW,1kW,37kW,40kW,28kW,0kW,3kW,150kW,87kW,0.05879167094826698kW,0kW,1kW,0kW,58kW,,,17kW,0kW,0kW,79kW,7kW,0kW,,246kW,34kW,106kW,41kW,,,366kW,18kW,,0kW,3kW,0kW,1kW,57kW,8kW,0kW,5kW,81kW,0kW,,0kW,325kW,82kW,24kW,70kW,29kW,0kW,,0kW,16kW,,1kW,,0kW,398kW,,231.9553985595703kW,1kW,,0kW,309kW,1kW,47kW,27kW,15kW,40kW,97kW,0kW,,67kW,3kW,7465.148209059611kW,9198.921813964844kW,122kW,18kW,,1kW,0kW,4kW,577kW,,,1kW,18kW,14kW,94kW,2kW,345kW,0kW,52kW,0kW
2016-02-10T06:10:00+11:00 Sydney,11kW,12kW,24kW,,119kW,132kW,6kW,11kW,0kW,0kW,19kW,2kW,1kW,,7kW,0kW,265kW,1kW,3kW,1kW,27kW,122kW,0kW,33kW,26kW,,36kW,7kW,0kW,0kW,,,46kW,2kW,13kW,13kW,1kW,47kW,,8kW,27kW,106kW,28kW,0kW,23kW,0kW,,1kW,64kW,3kW,32kW,2217.033401489258kW,,35kW,0kW,0kW,44kW,6kW,0kW,0kW,1kW,35kW,40kW,28kW,0kW,3kW,141kW,81kW,0.05879167094826698kW,0kW,1kW,0kW,50kW,,,17kW,0kW,0kW,79kW,7kW,0kW,,250kW,34kW,106kW,41kW,,,467kW,18kW,,0kW,3kW,0kW,1kW,57kW,8kW,0kW,5kW,150kW,0kW,,0kW,350kW,82kW,23kW,56kW,20kW,0kW,,0kW,16kW,,6kW,,0kW,376kW,,227.89320373535156kW,2kW,,0kW,268kW,1kW,47kW,27kW,16kW,43kW,98kW,0kW,,80kW,3kW,7662.5603997875005kW,9014.79800415039kW,124kW,26kW,,1kW,0kW,4kW,623kW,,,0kW,18kW,14kW,86kW,2kW,349kW,0kW,53kW,0kW
2016-02-10T06:20:00+11:00 Sydney,11kW,12kW,20kW,,115kW,132kW,7kW,11kW,0kW,0kW,19kW,2kW,1kW,,7kW,0kW,276kW,1kW,2kW,1kW,15kW,118kW,0kW,27kW,18kW,,34kW,3kW,0kW,0kW,,,46kW,4kW,13kW,13kW,1kW,47kW,,8kW,27kW,106kW,30kW,0kW,23kW,0kW,,1kW,62kW,3kW,30kW,2209.110397338867kW,,29kW,0kW,0kW,40kW,9kW,0kW,0kW,1kW,31kW,36kW,19kW,0kW,3kW,109kW,81kW,0.058740485459566116kW,0kW,1kW,0kW,48kW,,,22kW,0kW,0kW,78kW,6kW,0kW,,250kW,33kW,96kW,40kW,,,467kW,10kW,,0kW,3kW,0kW,1kW,57kW,8kW,0kW,4kW,150kW,0kW,,0kW,352kW,81kW,21kW,40kW,20kW,0kW,,0kW,15kW,,6kW,,0kW,390kW,,237.2164077758789kW,2kW,,0kW,275kW,6kW,47kW,30kW,16kW,43kW,97kW,0kW,,80kW,3kW,7605.093577319756kW,9015.093757629395kW,124kW,26kW,,1kW,0kW,3kW,623kW,,,0kW,14kW,14kW,84kW,2kW,361kW,0kW,53kW,0kW
2016-02-10T06:30:00+11:00 Sydney,10kW,11kW,17kW,,113kW,134kW,7kW,9kW,0kW,0kW,48kW,1kW,1kW,,4kW,0kW,276kW,0kW,7kW,1kW,15kW,120kW,0kW,28kW,25kW,,37kW,3kW,0kW,0kW,,,48kW,1kW,9kW,9kW,1kW,47kW,,8kW,25kW,110kW,30kW,0kW,23kW,0kW,,1kW,64kW,3kW,55kW,2205.110397338867kW,,29kW,0kW,0kW,64kW,9kW,0kW,0kW,1kW,38kW,38kW,53kW,0kW,2kW,109kW,74kW,0.058740485459566116kW,0kW,0kW,0kW,76kW,,,22kW,0kW,0kW,85kW,5kW,0kW,,249kW,114kW,95kW,35kW,,,373kW,18kW,,0kW,3kW,0kW,1kW,56kW,7kW,0kW,8kW,119kW,0kW,,0kW,379kW,85kW,35kW,45kW,18kW,0kW,,0kW,16kW,,3kW,,0kW,372kW,,247.63289642333984kW,1kW,,0kW,275kW,5kW,18kW,30kW,14kW,43kW,94kW,0kW,,80kW,2kW,7647.948992207646kW,9192.196830749512kW,123kW,34kW,,1kW,0kW,4kW,596kW,,,0kW,14kW,13kW,84kW,2kW,361kW,0kW,67kW,0kW
2016-02-10T06:40:00+11:00 Sydney,10kW,14kW,25kW,,113kW,134kW,6kW,9kW,0kW,0kW,48kW,1kW,1kW,,4kW,0kW,270kW,1kW,7kW,1kW,13kW,120kW,0kW,41kW,25kW,,37kW,3kW,0kW,0kW,,,119kW,2kW,13kW,13kW,1kW,49kW,,9kW,33kW,110kW,28kW,0kW,23kW,0kW,,1kW,64kW,3kW,55kW,2203.211898803711kW,,29kW,0kW,0kW,64kW,8kW,0kW,0kW,1kW,40kW,38kW,133kW,0kW,2kW,92kW,74kW,0.05799570679664612kW,0kW,1kW,0kW,76kW,,,18kW,0kW,0kW,85kW,5kW,0kW,,285kW,114kW,105kW,39kW,,,373kW,18kW,,0kW,3kW,0kW,1kW,58kW,7kW,0kW,8kW,83kW,0kW,,0kW,378kW,89kW,38kW,56kW,18kW,0kW,,0kW,16kW,,3kW,,0kW,381kW,,251.5412940979004kW,1kW,,0kW,261kW,5kW,34kW,45kW,15kW,47kW,98kW,0kW,,80kW,2kW,7688.903191044927kW,9072.65200805664kW,122kW,36kW,,1kW,0kW,4kW,602kW,,,0kW,13kW,13kW,79kW,2kW,344kW,0kW,67kW,0kW
2016-02-10T06:50:00+11:00 Sydney,10kW,14kW,25kW,,113kW,130kW,9kW,9kW,0kW,0kW,20kW,1kW,1kW,,3kW,0kW,269kW,1kW,2kW,1kW,13kW,127kW,0kW,41kW,23kW,,36kW,3kW,0kW,0kW,,,119kW,2kW,13kW,13kW,1kW,49kW,,9kW,33kW,83kW,30kW,0kW,40kW,0kW,,1kW,57kW,3kW,22kW,2223.308807373047kW,,31kW,0kW,0kW,83kW,9kW,0kW,0kW,1kW,40kW,37kW,133kW,0kW,2kW,80kW,73kW,0.057234909385442734kW,0kW,1kW,0kW,70kW,,,14kW,0kW,0kW,78kW,5kW,0kW,,288kW,79kW,105kW,40kW,,,357kW,11kW,,0kW,5kW,0kW,1kW,62kW,7kW,0kW,4kW,83kW,0kW,,0kW,364kW,89kW,38kW,56kW,18kW,0kW,,0kW,15kW,,1kW,,0kW,388kW,,211.9953956604004kW,1kW,,0kW,263kW,4kW,34kW,45kW,14kW,47kW,97kW,0kW,,70kW,2kW,7689.453820778057kW,9084.489166259766kW,148kW,36kW,,1kW,0kW,4kW,603kW,,,0kW,13kW,8kW,81kW,2kW,358kW,0kW,51kW,0kW
2016-02-10T07:00:00+11:00 Sydney,10kW,11kW,17kW,,156kW,133kW,5kW,9kW,0kW,0kW,28kW,1kW,1kW,,3kW,0kW,264kW,0kW,2kW,1kW,13kW,127kW,0kW,43kW,21kW,,51kW,3kW,0kW,0kW,,,76kW,2kW,12kW,12kW,1kW,83kW,,13kW,29kW,85kW,51kW,0kW,40kW,0kW,,1kW,55kW,4kW,21kW,2189.308807373047kW,,32kW,0kW,0kW,85kW,9kW,0kW,0kW,1kW,40kW,35kW,62kW,0kW,3kW,120kW,72kW,0.057479407638311386kW,0kW,2kW,0kW,68kW,,,17kW,0kW,0kW,86kW,16kW,0kW,,301kW,55kW,76kW,36kW,,,405kW,13kW,,0kW,5kW,0kW,1kW,181kW,8kW,0kW,5kW,134kW,0kW,,0kW,369kW,82kW,41kW,70kW,22kW,0kW,,0kW,15kW,,1kW,,0kW,389kW,,68.42669916152954kW,6kW,,0kW,262kW,3kW,18kW,30kW,15kW,77kW,98kW,0kW,,66kW,2kW,7930.683943761513kW,9790.860816955566kW,148kW,47kW,,5kW,0kW,4kW,631kW,,,1kW,13kW,13kW,89kW,2kW,375kW,0kW,50kW,0kW
2016-02-10T07:10:00+11:00 Sydney,10kW,11kW,17kW,,128kW,133kW,6kW,10kW,0kW,0kW,28kW,1kW,1kW,,3kW,0kW,266kW,0kW,2kW,1kW,17kW,129kW,0kW,74kW,21kW,,64kW,7kW,0kW,0kW,,,48kW,2kW,12kW,12kW,1kW,171kW,,13kW,28kW,110kW,51kW,0kW,32kW,0kW,,1kW,69kW,2kW,21kW,2214.4024047851562kW,,32kW,0kW,0kW,85kW,8kW,0kW,0kW,1kW,27kW,36kW,53kW,0kW,2kW,132kW,70kW,0.05764323100447655kW,0kW,3kW,0kW,68kW,,,31kW,0kW,0kW,101kW,18kW,0kW,,302kW,55kW,76kW,39kW,,,494kW,16kW,,0kW,3kW,0kW,1kW,181kW,8kW,0kW,5kW,134kW,0kW,,0kW,352kW,77kW,35kW,70kW,26kW,0kW,,0kW,15kW,,1kW,,0kW,415kW,,81.49169921875kW,3kW,,0kW,317kW,8kW,18kW,31kW,15kW,66kW,101kW,0kW,,103kW,2kW,8399.731225637719kW,9895.95874786377kW,335kW,40kW,,5kW,0kW,4kW,631kW,,,1kW,13kW,14kW,95kW,2kW,375kW,0kW,59kW,0kW
2016-02-10T07:20:00+11:00 Sydney,10kW,11kW,17kW,,128kW,128kW,6kW,10kW,0kW,0kW,27kW,1kW,2kW,,7kW,0kW,266kW,0kW,2kW,1kW,17kW,141kW,0kW,74kW,23kW,,64kW,7kW,0kW,0kW,,,48kW,4kW,12kW,12kW,1kW,171kW,,13kW,28kW,110kW,40kW,0kW,37kW,0kW,,1kW,69kW,6kW,12kW,2176.629592895508kW,,31kW,0kW,0kW,69kW,8kW,0kW,0kW,1kW,29kW,40kW,57kW,0kW,2kW,132kW,74kW,0.05831195041537285kW,0kW,3kW,0kW,66kW,,,31kW,0kW,0kW,101kW,18kW,0kW,,312kW,56kW,88kW,39kW,,,465kW,18kW,,0kW,3kW,0kW,1kW,141kW,8kW,0kW,6kW,118kW,0kW,,0kW,347kW,97kW,43kW,63kW,26kW,0kW,,0kW,16kW,,1kW,,0kW,415kW,,81.60709953308105kW,4kW,,0kW,317kW,8kW,26kW,31kW,16kW,66kW,100kW,0kW,,106kW,2kW,8309.016113905236kW,9795.440872192383kW,341kW,40kW,,4kW,0kW,5kW,648kW,,,0kW,13kW,21kW,95kW,2kW,361kW,0kW,59kW,0kW
2016-02-10T07:30:00+11:00 Sydney,10kW,11kW,17kW,,117kW,135kW,6kW,9kW,0kW,0kW,55kW,1kW,2kW,,13kW,0kW,260kW,0kW,2kW,1kW,13kW,166kW,0kW,82kW,23kW,,43kW,3kW,0kW,0kW,,,45kW,4kW,11kW,11kW,1kW,99kW,,13kW,28kW,108kW,40kW,0kW,37kW,0kW,,1kW,60kW,6kW,23kW,2178.354507446289kW,,35kW,0kW,0kW,45kW,13kW,0kW,0kW,1kW,29kW,40kW,57kW,0kW,2kW,129kW,74kW,0.05831195041537285kW,0kW,1kW,0kW,106kW,,,29kW,0kW,0kW,100kW,12kW,0kW,,349kW,56kW,88kW,53kW,,,404kW,18kW,,0kW,5kW,0kW,1kW,141kW,8kW,0kW,6kW,127kW,0kW,,0kW,351kW,97kW,43kW,46kW,20kW,0kW,,0kW,16kW,,1kW,,0kW,404kW,,87.41679954528809kW,4kW,,0kW,322kW,8kW,26kW,31kW,16kW,66kW,98kW,0kW,,106kW,2kW,8290.095362668857kW,9956.470153808594kW,341kW,39kW,,4kW,0kW,5kW,632kW,,,0kW,14kW,21kW,96kW,2kW,384kW,0kW,52kW,0kW
2016-02-10T07:40:00+11:00 Sydney,10kW,11kW,21kW,,115kW,135kW,6kW,9kW,0kW,0kW,23kW,1kW,2kW,,13kW,0kW,274kW,0kW,2kW,1kW,13kW,166kW,0kW,96kW,56kW,,47kW,7kW,0kW,0kW,,,44kW,2kW,22kW,22kW,3kW,66kW,,9kW,35kW,118kW,41kW,0kW,32kW,0kW,,1kW,55kW,2kW,28kW,2193.8807983398438kW,,36kW,0kW,0kW,48kW,18kW,0kW,0kW,1kW,27kW,44kW,56kW,0kW,8kW,130kW,71kW,0.05686487630009651kW,0kW,0kW,0kW,112kW,,,29kW,0kW,0kW,89kW,12kW,0kW,,349kW,55kW,81kW,53kW,,,448kW,14kW,,1kW,5kW,0kW,5kW,136kW,8kW,0kW,6kW,127kW,0kW,,0kW,334kW,84kW,48kW,70kW,20kW,0kW,,0kW,16kW,,1kW,,0kW,408kW,,82.50539922714233kW,3kW,,0kW,350kW,1kW,33kW,31kW,16kW,86kW,96kW,0kW,,107kW,2kW,8434.870231935754kW,9968.762924194336kW,293kW,46kW,,1kW,0kW,4kW,666kW,,,0kW,14kW,26kW,98kW,2kW,384kW,0kW,56kW,0kW
2016-02-10T07:50:00+11:00 Sydney,10kW,12kW,23kW,,118kW,142kW,9kW,9kW,0kW,0kW,23kW,1kW,2kW,,8kW,0kW,274kW,0kW,2kW,3kW,13kW,235kW,0kW,134kW,56kW,,47kW,7kW,0kW,0kW,,,45kW,4kW,22kW,22kW,3kW,59kW,,11kW,26kW,118kW,41kW,0kW,30kW,0kW,,10kW,55kW,2kW,28kW,2215.8807983398438kW,,49kW,0kW,0kW,48kW,18kW,0kW,0kW,1kW,28kW,36kW,56kW,2kW,11kW,163kW,71kW,0.05717341974377632kW,0kW,1kW,0kW,118kW,,,29kW,0kW,0kW,102kW,12kW,0kW,,346kW,51kW,80kW,45kW,,,448kW,23kW,,1kW,3kW,0kW,5kW,135kW,8kW,0kW,8kW,126kW,0kW,,0kW,347kW,86kW,50kW,70kW,20kW,0kW,,0kW,17kW,,1kW,,0kW,397kW,,86.47050094604492kW,2kW,,0kW,350kW,5kW,33kW,39kW,16kW,86kW,106kW,0kW,,112kW,2kW,8523.228131840006kW,10221.32772064209kW,273kW,57kW,,1kW,0kW,4kW,652kW,,,0kW,14kW,26kW,107kW,2kW,380kW,0kW,63kW,0kW
2016-02-10T08:00:00+11:00 Sydney,10kW,14kW,25kW,,151kW,142kW,9kW,10kW,0kW,0kW,22kW,1kW,2kW,,14kW,0kW,262kW,0kW,2kW,3kW,13kW,235kW,0kW,134kW,36kW,,45kW,4kW,0kW,0kW,,,105kW,4kW,22kW,22kW,0kW,72kW,,11kW,29kW,137kW,41kW,0kW,35kW,0kW,,10kW,57kW,2kW,22kW,2231.5529022216797kW,,49kW,0kW,0kW,47kW,16kW,0kW,0kW,1kW,29kW,36kW,48kW,2kW,11kW,163kW,80kW,0.05717341974377632kW,0kW,1kW,0kW,118kW,,,32kW,0kW,0kW,102kW,20kW,0kW,,340kW,51kW,88kW,45kW,,,495kW,23kW,,0kW,3kW,0kW,2kW,122kW,9kW,0kW,8kW,100kW,0kW,,0kW,349kW,108kW,58kW,68kW,20kW,0kW,,0kW,18kW,,1kW,,0kW,410kW,,85.64429950714111kW,2kW,,1kW,283kW,5kW,28kW,39kW,15kW,89kW,109kW,0kW,,112kW,2kW,8694.030988538638kW,10722.749031066895kW,275kW,57kW,,1kW,0kW,4kW,628kW,,,0kW,14kW,26kW,107kW,2kW,413kW,0kW,83kW,0kW
2016-02-10T08:10:00+11:00 Sydney,10kW,14kW,25kW,,151kW,144kW,7kW,10kW,0kW,0kW,29kW,1kW,2kW,,14kW,0kW,294kW,0kW,2kW,1kW,13kW,198kW,0kW,131kW,20kW,,44kW,3kW,0kW,0kW,,,105kW,2kW,21kW,21kW,0kW,72kW,,15kW,29kW,137kW,46kW,0kW,35kW,0kW,,5kW,57kW,2kW,52kW,2297.603500366211kW,,133kW,0kW,0kW,48kW,17kW,0kW,0kW,1kW,29kW,36kW,46kW,0kW,11kW,187kW,80kW,0.05872276797890663kW,0kW,1kW,0kW,110kW,,,32kW,0kW,0kW,96kW,20kW,0kW,,392kW,51kW,88kW,54kW,,,495kW,21kW,,0kW,3kW,0kW,5kW,126kW,9kW,0kW,6kW,110kW,0kW,,0kW,348kW,108kW,58kW,64kW,19kW,0kW,,0kW,18kW,,1kW,,0kW,415kW,,84.35120105743408kW,1kW,,1kW,295kW,5kW,34kW,47kW,15kW,89kW,102kW,0kW,,108kW,2kW,9063.48376311548kW,10998.844100952148kW,269kW,50kW,,1kW,0kW,5kW,695kW,,,0kW,14kW,26kW,109kW,2kW,411kW,0kW,83kW,0kW
2016-02-10T08:20:00+11:00 Sydney,10kW,13kW,23kW,,126kW,146kW,7kW,10kW,0kW,0kW,26kW,1kW,2kW,,13kW,0kW,305kW,4kW,2kW,1kW,13kW,277kW,0kW,159kW,24kW,,47kW,3kW,0kW,0kW,,,69kW,2kW,15kW,15kW,0kW,125kW,,12kW,35kW,131kW,41kW,0kW,30kW,0kW,,6kW,57kW,2kW,23kW,2297.603500366211kW,,133kW,0kW,0kW,48kW,17kW,0kW,0kW,1kW,28kW,36kW,81kW,0kW,7kW,173kW,84kW,0.05834712088108063kW,0kW,0kW,0kW,120kW,,,33kW,0kW,0kW,96kW,26kW,0kW,,392kW,46kW,84kW,54kW,,,502kW,21kW,,0kW,3kW,0kW,2kW,126kW,8kW,0kW,7kW,110kW,0kW,,0kW,366kW,112kW,56kW,69kW,19kW,0kW,,0kW,19kW,,1kW,,0kW,430kW,,79.74020147323608kW,1kW,,1kW,347kW,3kW,34kW,47kW,15kW,91kW,103kW,0kW,,108kW,2kW,9203.733071751893kW,10997.23999786377kW,259kW,49kW,,1kW,0kW,5kW,697kW,,,1kW,14kW,27kW,114kW,2kW,408kW,0kW,64kW,0kW
2016-02-10T08:30:00+11:00 Sydney,10kW,13kW,25kW,,126kW,146kW,6kW,10kW,0kW,0kW,30kW,2kW,6kW,,11kW,0kW,316kW,4kW,3kW,1kW,13kW,260kW,0kW,159kW,45kW,,48kW,5kW,0kW,0kW,,,69kW,2kW,19kW,19kW,0kW,125kW,,14kW,35kW,131kW,46kW,0kW,30kW,0kW,,13kW,69kW,2kW,27kW,2296.195297241211kW,,133kW,0kW,0kW,80kW,15kW,0kW,0kW,1kW,30kW,38kW,120kW,2kW,7kW,173kW,84kW,0.05863199755549431kW,0kW,1kW,0kW,138kW,,,44kW,0kW,0kW,96kW,26kW,0kW,,400kW,46kW,106kW,43kW,,,543kW,21kW,,0kW,6kW,0kW,2kW,128kW,8kW,0kW,7kW,125kW,0kW,,0kW,399kW,112kW,65kW,82kW,22kW,0kW,,0kW,18kW,,1kW,,0kW,418kW,,83.77350044250488kW,1kW,,1kW,347kW,5kW,29kW,40kW,15kW,97kW,116kW,0kW,,115kW,2kW,9409.135113766417kW,11293.623863220215kW,273kW,53kW,,1kW,0kW,5kW,684kW,,,3kW,14kW,27kW,125kW,2kW,431kW,0kW,64kW,0kW
2016-02-10T08:40:00+11:00 Sydney,10kW,14kW,30kW,,117kW,146kW,5kW,10kW,0kW,0kW,30kW,4kW,6kW,,23kW,0kW,316kW,4kW,3kW,1kW,13kW,260kW,0kW,154kW,45kW,,48kW,5kW,0kW,0kW,,,68kW,2kW,21kW,21kW,0kW,120kW,,14kW,34kW,151kW,46kW,0kW,31kW,0kW,,13kW,69kW,2kW,27kW,2451.090103149414kW,,51kW,0kW,0kW,80kW,13kW,0kW,0kW,1kW,34kW,45kW,120kW,2kW,3kW,170kW,84kW,0.05863199755549431kW,0kW,1kW,0kW,138kW,,,44kW,0kW,0kW,103kW,21kW,0kW,,404kW,46kW,111kW,47kW,,,547kW,18kW,,0kW,6kW,0kW,2kW,117kW,8kW,0kW,7kW,212kW,0kW,,0kW,407kW,99kW,69kW,82kW,68kW,0kW,,0kW,21kW,,2kW,,0kW,410kW,,77.98760032653809kW,2kW,,1kW,331kW,5kW,42kW,42kW,15kW,101kW,120kW,0kW,,137kW,2kW,9506.880319645628kW,11496.046363830566kW,274kW,53kW,,1kW,0kW,6kW,676kW,,,3kW,14kW,24kW,125kW,2kW,430kW,0kW,60kW,0kW
2016-02-10T08:50:00+11:00 Sydney,10kW,14kW,30kW,,117kW,149kW,6kW,10kW,0kW,0kW,25kW,4kW,5kW,,23kW,0kW,316kW,0kW,4kW,1kW,13kW,203kW,0kW,148kW,24kW,,49kW,9kW,0kW,0kW,,,54kW,2kW,21kW,21kW,0kW,113kW,,9kW,34kW,151kW,55kW,0kW,31kW,0kW,,7kW,69kW,2kW,53kW,2433.767807006836kW,,64kW,0kW,0kW,72kW,12kW,0kW,0kW,3kW,34kW,45kW,55kW,3kW,2kW,175kW,84kW,0.05748719349503517kW,0kW,0kW,0kW,200kW,,,44kW,0kW,0kW,103kW,21kW,0kW,,383kW,44kW,111kW,61kW,,,547kW,21kW,,0kW,3kW,0kW,2kW,133kW,8kW,0kW,8kW,212kW,0kW,,0kW,400kW,99kW,69kW,81kW,68kW,0kW,,0kW,21kW,,2kW,,0kW,425kW,,74.02000045776367kW,2kW,,2kW,345kW,7kW,42kW,49kW,16kW,101kW,114kW,0kW,,137kW,2kW,9679.652451606467kW,11941.687446594238kW,272kW,48kW,,1kW,0kW,7kW,747kW,,,3kW,14kW,26kW,123kW,2kW,453kW,0kW,60kW,0kW
